StateID,StateName,LatLong
86,Johor,"1.934400, 103.358727"
8,Kedah,"6.155672, 100.569649"
18,Kelantan,"6.125397, 102.238068"
50,Kuala Lumpur,"3.1412, 101.68653"
87,Labuan,"5.285153, 115.247787"
78,Melaka,"2.200844, 102.240143"
72,Negeri Sembilan,"2.731813, 102.252502"
27,Pahang,"3.974341, 102.438057"
30,Perak,"4.693950, 101.117577"
2,Perlis,"6.443589, 100.216599"
13,Pulau Pinang,"5.417071, 100.400011"
90,Sabah,"5.420404, 116.796783"
96,Sarawak,"1.544765, 110.365219"
48,Selangor,"3.509247, 101.524803"
23,Terengganu,"5.207053, 103.205299"
